,base_market,quote_market,hedge_ratio,half_life,intercept
0,UMA-USD,SOL-USD,0.027712681729241108,10.0,-1.2909336697617741
1,UMA-USD,ZEC-USD,0.1732473220205617,8.0,-1.1583531519936456
2,UMA-USD,AAVE-USD,0.026200605739813705,4.0,0.36456605172062173
3,UMA-USD,ETC-USD,0.13113551449446514,13.0,-0.8180900975556025
4,UMA-USD,XTZ-USD,3.4363054022583417,11.0,-0.7942623372905067
5,UMA-USD,LINK-USD,0.25076473314772585,12.0,-0.8616884792383268
6,UMA-USD,BCH-USD,0.0064613295869886,9.0,-0.4931149533488015
7,UMA-USD,XMR-USD,0.06051917643575758,6.0,-4.528986957143497
8,UMA-USD,YFI-USD,0.0006670336464779203,8.0,-1.9784219452425809
9,UMA-USD,RUNE-USD,0.4372548421083826,9.0,0.3768615887289286
10,UMA-USD,DOGE-USD,22.427003911280593,12.0,-0.7984012497837648
11,UMA-USD,COMP-USD,0.05522236445398665,7.0,-0.3679177174691537
12,UMA-USD,FIL-USD,0.4058579284038514,6.0,0.18361182414490898
13,UMA-USD,MATIC-USD,4.900192867377959,7.0,-0.7635646939112588
14,UMA-USD,CRV-USD,5.463128240261577,7.0,0.26423592236201615
15,UMA-USD,DOT-USD,0.5496689436437455,7.0,-1.0949528211866162
16,UMA-USD,BTC-USD,0.00013348592308453798,9.0,-5.873181541972628
17,UMA-USD,CELO-USD,3.5973468520888385,6.0,-0.23938599659439835
18,UMA-USD,1INCH-USD,6.255393994834296,6.0,0.07275430293422866
19,UMA-USD,ADA-USD,7.591320232372744,10.0,-0.9160713279216506
20,UMA-USD,ZRX-USD,6.066555054561715,11.0,-0.43026613074998354
21,UMA-USD,SUSHI-USD,1.8105449806821827,6.0,0.8904656780676861
22,UMA-USD,AVAX-USD,0.08421098059571407,7.0,-0.35223931781103957
23,UMA-USD,SNX-USD,0.9415775839164113,8.0,-0.0894989921121307
24,UMA-USD,ETH-USD,0.0020795790601191664,6.0,-3.7894568832626105
25,UMA-USD,XLM-USD,46.10003909049844,8.0,-2.4347785878319463
26,UMA-USD,ATOM-USD,0.38951455155353437,7.0,-0.578235965171789
27,UMA-USD,LTC-USD,0.05652781276431003,11.0,-1.9160628340217047
28,SOL-USD,ZEC-USD,5.78818823959004,5.0,15.604507776153529
29,SOL-USD,AAVE-USD,0.8258158490400184,11.0,71.2556696100876
30,SOL-USD,LINK-USD,8.666392394514737,5.0,21.205204568936153
31,SOL-USD,YFI-USD,0.02220811303793377,7.0,-11.228914298598434
32,SOL-USD,COMP-USD,1.8130829942188167,8.0,43.893029239783644
33,SOL-USD,DOT-USD,18.13836620173172,8.0,19.36045050084902
34,SOL-USD,BTC-USD,0.004787253208388477,5.0,-163.41054101301282
35,SOL-USD,CELO-USD,117.23802397225202,8.0,48.87052467933751
36,SOL-USD,1INCH-USD,201.4746205801159,10.0,60.11834908928601
37,SOL-USD,ADA-USD,256.76605234262934,6.0,22.12583070068872
38,SOL-USD,ZRX-USD,200.49719997879885,8.0,41.12543496259396
39,SOL-USD,AVAX-USD,2.7896489618532625,9.0,43.45375684524302
40,SOL-USD,ETH-USD,0.0693269129113867,7.0,-71.81333265081739
41,SOL-USD,EOS-USD,99.00438566779428,10.0,66.0799859778405
42,SOL-USD,ATOM-USD,12.83302879656225,8.0,36.59337529698523
43,ZEC-USD,AAVE-USD,0.1429016114361984,8.0,9.592557656372787
44,ZEC-USD,LINK-USD,1.4514028846553297,6.0,1.6530990775494192
45,ZEC-USD,YFI-USD,0.003744732987855904,7.0,-3.9643171219044846
46,ZEC-USD,RUNE-USD,2.441668541093393,7.0,9.333386196677873
47,ZEC-USD,COMP-USD,0.31031183581505717,5.0,5.059798214209755
48,ZEC-USD,DOT-USD,3.105358931865746,4.0,0.8541232443923705
49,ZEC-USD,BTC-USD,0.0007717777634335711,8.0,-27.298726098058328
50,ZEC-USD,CELO-USD,20.150772117231405,4.0,5.8375552835174815
51,ZEC-USD,ADA-USD,43.67250882629733,6.0,1.4712771716647262
52,ZEC-USD,ZRX-USD,34.58835688888922,4.0,4.43684762263428
53,ZEC-USD,XLM-USD,262.8159624789641,3.0,-6.989235900355791
54,AAVE-USD,XMR-USD,2.2674638112514707,7.0,-181.57971028599968
55,AAVE-USD,YFI-USD,0.02516490088675723,8.0,-87.2817494654767
56,AAVE-USD,DOT-USD,20.704294174166606,7.0,-53.71357782564778
57,AAVE-USD,CELO-USD,136.18200044192375,4.0,-22.07923204910125
58,AAVE-USD,ENJ-USD,279.4030842365296,6.0,-3.3731170854855925
59,AAVE-USD,SUSHI-USD,68.15223375110858,7.0,21.120809821161792
60,AAVE-USD,AVAX-USD,3.199288423042746,7.0,-26.789131328241915
61,AAVE-USD,ETH-USD,0.07872948118917585,7.0,-156.48583570714862
62,AAVE-USD,XLM-USD,1726.510173037615,10.0,-103.0338868089572
63,AAVE-USD,ATOM-USD,14.932662563317372,6.0,-36.57152382583447
64,ETC-USD,XTZ-USD,25.795126531222923,6.0,0.6200042638763972
65,ETC-USD,RUNE-USD,3.208372945302261,11.0,9.835752367271386
66,ETC-USD,DOGE-USD,172.224111120702,6.0,-0.04748264568718974
67,ETC-USD,CRV-USD,39.6188871394898,12.0,9.233585623281096
68,ETC-USD,ENJ-USD,53.07276632853878,11.0,9.326005705936762
69,ETC-USD,ETH-USD,0.015337313068705874,7.0,-20.986238072709213
70,ETC-USD,ATOM-USD,2.901320281143754,5.0,2.4429534586639443
71,XTZ-USD,BCH-USD,0.0018219935972591814,8.0,0.11814805473791945
